request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,11974188.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 May 2024. None of the available options keeps the IDR 20,275,700 minimum protected."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.0,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,18274.21,affordable_later,wait,2024-06-15:28870.0,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,462.19,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,reduce_to:event_4992:44.5|stop:event_4925,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100 available."
request_54,3464.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,125447.6,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,stop:event_5101|reduce_to:event_5167:2750.0|reduce_to:event_5103:2536.0,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124,300 available."
request_56,705.79,affordable_with_plan,partial_payment,2025-02-03:705.79|2025-02-15:175.77,2025-02-15,none,"Pay USD 705.79 today and the remaining USD 175.77 on 2025-02-15. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,14724.01,affordable_later,wait,2026-05-15:61446.0,2026-05-15,none,"Pay ZAR 61,446 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.0,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132,600 available."
request_60,160.49,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 2026-01-15. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,50312.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 September 2026. None of the available options keeps the INR 153,500 minimum protected."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,6403.58,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,244.93,affordable_later,wait,2024-11-15:2094.0,2024-11-15,none,"Pay USD 2,094 in full on 2024-11-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1258.57,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with the USD 2,091.60 request. Although USD 1,258.57 is available today, the full amount cannot be completed safely within 90 days."
request_69,454.84,affordable_with_plan,full_payment,2026-01-04:529.1,2026-03-15,reduce_to:event_6407:16.4|stop:event_6405,"Reduce event_6407 to 16.4 and stop event_6405, then pay EUR 529.10 today. This leaves at least EUR 700 available."
request_70,49190.0,affordable_later,wait,2025-02-15:243900.0,2025-02-15,none,"Pay INR 243,900 in full on 2025-02-15. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,1331795.5,affordable_later,wait,2025-07-15:21451000.0,2025-07-15,none,"Pay IDR 21,451,000 in full on 2025-07-15. Paying earlier would take the balance below the IDR 8,884,800 minimum."
request_72,11290.14,affordable_with_plan,full_payment,2026-07-05:11330.0,2026-07-15,reduce_to:event_6749:410.3|stop:event_6682,"Reduce event_6749 to 410.3 and stop event_6682, then pay ZAR 11,330 today. This leaves at least ZAR 12,200 available."
request_73,66827.64,affordable_later,wait,2023-02-15:71400.0,2023-02-15,none,"Pay INR 71,400 in full on 2023-02-15. Paying earlier would take the balance below the INR 103,200 minimum."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39,000 available."
request_76,931.47,not_affordable,not_recommended,none,2024-06-20,none,"Do not proceed with the USD 4,455.60 request. Although USD 931.47 is available today, the full amount cannot be completed safely within 90 days."
request_77,58518.29,affordable_later,wait,2025-11-15:60700.0,2025-11-15,none,"Pay INR 60,700 in full on 2025-11-15. Paying earlier would take the balance below the INR 82,200 minimum."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.0,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 55,200 available over the next 90 days."
request_79,402.8,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 01 November 2024. None of the available options keeps the EUR 1,000 minimum protected."
request_80,120912.01,not_affordable,not_recommended,none,2025-02-11,none,"Do not proceed with the INR 217,500 request. Although INR 120,912.01 is available today, the full amount cannot be completed safely within 90 days."
request_81,2025.66,affordable_with_plan,full_payment,2026-07-03:2076.0,2026-09-15,reduce_to:event_7636:37.5|stop:event_7569,"Reduce event_7636 to 37.5 and stop event_7569, then pay USD 2,076 today. This leaves at least USD 1,600 available."
request_82,253.24,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,100 minimum protected."
request_83,9321.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,35677.99,affordable_later,wait,2026-05-15:95400.0,2026-05-15,none,"Pay INR 95,400 in full on 2026-05-15. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,278915.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.0,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,36900.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10497.61,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25,800 available."
request_89,9047662.1,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the IDR 13,756,000 request. Although IDR 9,047,662.11 is available today, the full amount cannot be completed safely within 90 days."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,234.73,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"Pay EUR 1,927.20 in full on 2024-11-15. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.0,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,72366.6,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,reduce_to:event_8980:1610.0|stop:event_8914,"Use 3 installments of INR 31269.33, starting 2026-01-10. This leaves at least INR 56,500 available."
request_97,1205.17,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29,700 available."
request_98,9368.59,affordable_later,wait,2025-08-15:27148.0,2025-08-15,none,"Pay ZAR 27,148 in full on 2025-08-15. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.0,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,24860.08,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with the ZAR 37,114 request. Although ZAR 24,860.08 is available today, the full amount cannot be completed safely within 90 days."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,477.5,not_affordable,not_recommended,none,,none,"Do not make this payment by 07 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.0,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.0,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,438.71,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"Pay EUR 2,207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2088.13,not_affordable,not_recommended,none,2025-07-15,none,"Do not make this payment by 04 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,4736.91,affordable_later,wait,2026-07-21:55308.0,2026-07-21,none,"Pay ZAR 55,308 in full on 2026-07-21. Paying earlier would take the balance below the ZAR 24,100 minimum."
request_109,626.21,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,208.53,affordable_with_plan,full_payment,2024-06-05:271.7,2024-08-15,reduce_to:event_10400:13.0|stop:event_10333|stop:event_10334,"Reduce event_10400 to 13.0, Stop event_10333, and stop event_10334, then pay EUR 271.70 today. This leaves at least EUR 500 available."
request_113,25720.5,affordable_later,wait,2026-09-15:36500.0,2026-09-15,none,"Pay INR 36,500 in full on 2026-09-15. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300.0,2026-01-04,none,"Pay INR 65,300 today. This leaves at least INR 113,400 available over the next 90 days."
request_115,14426.43,affordable_later,wait,2024-11-15:80500.0,2024-11-15,none,"Pay INR 80,500 in full on 2024-11-15. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,1840.91,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.0,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,632.49,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,reduce_to:event_10914:14.0|stop:event_10912,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available."
request_119,65390.93,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70546.67, starting 2025-05-18. This leaves at least INR 151,200 available."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.0,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.0,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1352.74,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1,600 available."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.0,2025-11-06,none,"Pay ZAR 6,468 today. This leaves at least ZAR 11,300 available over the next 90 days."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.0,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,5412.7,affordable_later,wait,2024-11-15:23980.0,2024-11-15,none,"Pay ZAR 23,980 in full on 2024-11-15. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.0,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,146.55,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,356.11,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"Pay USD 1,978.80 in full on 2025-02-15. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1100.11,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,100 available."
request_132,341.78,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 2026-01-15. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,75993.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,3774424.4,affordable_later,wait,2025-10-15:21831000.0,2025-10-15,none,"Pay IDR 21,831,000 in full on 2025-10-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,300.79,affordable_with_plan,full_payment,2026-07-06:304.8,2026-07-15,stop:event_12413|reduce_to:event_12458:17.5,"Stop event_12413 and reduce event_12458 to 17.5, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,481.13,affordable_later,wait,2024-06-15:560.4,2024-06-15,none,"Pay USD 560.40 in full on 2024-06-15. Paying earlier would take the balance below the USD 1,100 minimum."
request_137,9660.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 71,800 minimum protected."
request_138,820.77,affordable_with_plan,partial_payment,2026-04-07:820.77|2026-04-15:436.17,2026-04-15,none,"Pay EUR 820.77 today and the remaining EUR 436.17 on 2026-04-15. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1326.3,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with the USD 2,316 request. Although USD 1,326.30 is available today, the full amount cannot be completed safely within 90 days."
request_140,1182.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 04 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,25928.47,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2026. None of the available options keeps the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,2285.34,affordable_later,wait,2025-07-15:12584.0,2025-07-15,none,"Pay ZAR 12,584 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,161.11,affordable_with_plan,full_payment,2026-07-04:233.34,2026-09-15,reduce_to:event_13306:17.5|stop:event_13240|stop:event_13239,"Reduce event_13306 to 17.5, Stop event_13240, and stop event_13239, then pay USD 233.34 today. This leaves at least USD 600 available."
request_145,18610.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 May 2024. None of the available options keeps the INR 155,400 minimum protected."
request_146,20822.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,536.42,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 900 available."
request_148,6771.78,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,reduce_to:event_13594:576.4|reduce_to:event_13661:531.3|stop:event_13593,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This leaves at least ZAR 20,000 available."
request_149,21422.43,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-15,reduce_to:event_13703:1013.76|stop:event_13702,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This leaves at least ZAR 42,100 available."
request_150,311.97,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.0,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,10762.86,not_affordable,not_recommended,none,2025-04-15,none,"Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,107.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1,300 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500.0,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,9158.3,affordable_later,wait,2026-05-15:43076.0,2026-05-15,none,"Pay ZAR 43,076 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4352610.8,affordable_later,wait,2024-05-15:23503000.0,2024-05-15,none,"Pay IDR 23,503,000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 131,400 available."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.0,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,560.3,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200 available."
request_161,5049563.8,affordable_later,wait,2026-01-15:21204000.0,2026-01-15,none,"Pay IDR 21,204,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,1937008.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,7728574.2,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 7,728,574.18 is available today, the full amount cannot be completed safely within 90 days."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240.0|2025-03-11:9366240.0|2025-04-08:9366240.0,2025-02-04,none,"Use 3 installments of IDR 9366240.0, starting 2025-02-11. This leaves at least IDR 29,550,500 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.0,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.0,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,37408.79,affordable_with_plan,partial_payment,2026-01-07:37408.79|2026-01-15:11971.21,2026-01-15,none,"Pay INR 37408.79 today and the remaining INR 11971.21 on 2026-01-15. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.0,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,28515416.9,affordable_with_plan,installments,2025-08-06:12804480.0|2025-09-03:12804480.0|2025-10-01:12804480.0,2025-10-15,reduce_to:event_15670:779950.0|stop:event_15605|stop:event_15604,"Use 3 installments of IDR 12804480.0, starting 2025-08-06. This leaves at least IDR 24,715,800 available."
request_171,49.72,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,8195.56,affordable_with_plan,partial_payment,2024-06-05:8195.56|2024-07-15:2004.44,2024-07-15,none,"Pay ZAR 8195.56 today and the remaining ZAR 2004.44 on 2024-07-15. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,59345.98,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,"Use 3 installments of INR 39173.33, starting 2025-11-21. This leaves at least INR 79,100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,479.81,affordable_later,wait,2025-02-20:1239.7,2025-02-20,none,"Pay EUR 1,239.70 in full on 2025-02-20. Paying earlier would take the balance below the EUR 600 minimum."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This leaves at least EUR 1,400 available."
request_179,4531066.9,affordable_later,wait,2025-07-15:41648000.0,2025-07-15,none,"Pay IDR 41,648,000 in full on 2025-07-15. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.0,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
